"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","authConfigIsAccessible","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","authConfigIsAccessible"
"","634","Non-admin access to audit logs returns 403","Smoke Tests","Sun Feb 15 13:41:29 UTC 2026","passed","Sun Feb 15 13:41:29 UTC 2026","ua.kpi.sc.test.api.tests.audit.AuditTest","Smoke","ua.kpi.sc.test.api.tests.audit.AuditTest","nonAdminAccess_returns403"
"","1867","Login with valid credentials returns 200 with email and cookies","Smoke Tests","Sun Feb 15 13:41:30 UTC 2026","passed","Sun Feb 15 13:41:31 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthLoginTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthLoginTest","loginWithValidCredentials"
"","4081","Reset password with valid token returns 204","Smoke Tests","Sun Feb 15 13:41:30 UTC 2026","passed","Sun Feb 15 13:41:34 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthResetPasswordTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthResetPasswordTest","resetPasswordWithValidTokenReturns204"
"","5","configurationLoadsSuccessfully","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","configurationLoadsSuccessfully"
"","852","swaggerUiIsAccessible","Smoke Tests","Sun Feb 15 13:41:32 UTC 2026","passed","Sun Feb 15 13:41:33 UTC 2026","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","Smoke","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","swaggerUiIsAccessible"
"","3276","apiDocsEndpointReturnsOpenApiSpec","Smoke Tests","Sun Feb 15 13:41:32 UTC 2026","passed","Sun Feb 15 13:41:35 UTC 2026","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","Smoke","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","apiDocsEndpointReturnsOpenApiSpec"
"","1379","Get user by ID returns 200 with all fields","Smoke Tests","Sun Feb 15 13:42:07 UTC 2026","passed","Sun Feb 15 13:42:09 UTC 2026","ua.kpi.sc.test.api.tests.user.UserGetByIdTest","Smoke","ua.kpi.sc.test.api.tests.user.UserGetByIdTest","getUserByIdReturns200"
"","40855","Full flow: register -> forgot -> MailPit -> extract token -> reset -> login with new password","Smoke Tests","Sun Feb 15 13:40:55 UTC 2026","passed","Sun Feb 15 13:41:36 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthPasswordResetFlowTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthPasswordResetFlowTest","fullPasswordResetFlow"
"","646","Get audit logs returns 200 with paginated response","Smoke Tests","Sun Feb 15 13:41:29 UTC 2026","failed","Sun Feb 15 13:41:29 UTC 2026","ua.kpi.sc.test.api.tests.audit.AuditTest","Smoke","ua.kpi.sc.test.api.tests.audit.AuditTest","getAuditLogs_returns200"
"","1339","Register new user returns 201 with cookies and user data","Smoke Tests","Sun Feb 15 13:41:31 UTC 2026","passed","Sun Feb 15 13:41:33 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","registerNewUser"
"","34461","Change password returns 204","Smoke Tests","Sun Feb 15 13:41:33 UTC 2026","passed","Sun Feb 15 13:42:07 UTC 2026","ua.kpi.sc.test.api.tests.user.UserChangePasswordTest","Smoke","ua.kpi.sc.test.api.tests.user.UserChangePasswordTest","changePasswordReturns204"
"","561","Create feature flag returns 201 with correct fields","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","Smoke","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","createFlagReturns201"
"","296","GET /users/me returns current user profile","Smoke Tests","Sun Feb 15 13:41:35 UTC 2026","passed","Sun Feb 15 13:41:35 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","getMeReturns200"
"","1090","Delete user returns 204","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","passed","Sun Feb 15 13:42:09 UTC 2026","ua.kpi.sc.test.api.tests.user.UserDeleteTest","Smoke","ua.kpi.sc.test.api.tests.user.UserDeleteTest","deleteUserReturns204"
"","144","healthEndpointReturns200WithStatusUp","Smoke Tests","Sun Feb 15 13:41:33 UTC 2026","passed","Sun Feb 15 13:41:33 UTC 2026","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","Smoke","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","healthEndpointReturns200WithStatusUp"
"","1","executionConfigHasDefaults","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","executionConfigHasDefaults"
"","193","List feature flags returns paginated response","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","Smoke","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","listFlagsReturnsPaginatedResponse"
"","31798","Search users by name returns results","Smoke Tests","Sun Feb 15 13:41:36 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSearchFilterTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSearchFilterTest","searchUsersByNameReturnsResults"
"","1936","Assign partner level returns 201","Smoke Tests","Sun Feb 15 13:41:35 UTC 2026","passed","Sun Feb 15 13:41:37 UTC 2026","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","Smoke","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","assignPartnerLevelReturns201"
"","31887","PATCH /users/{id}/tier with valid tier returns 200","Smoke Tests","Sun Feb 15 13:41:36 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateTierTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateTierTest","updateTierWithValidValue"
"","158","Google OAuth redirect returns 302","Smoke Tests","Sun Feb 15 13:41:31 UTC 2026","passed","Sun Feb 15 13:41:32 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthGoogleOAuthTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthGoogleOAuthTest","googleOAuthRedirectReturns302"
"","1897","Create user returns 201 with correct fields","Smoke Tests","Sun Feb 15 13:41:33 UTC 2026","passed","Sun Feb 15 13:41:35 UTC 2026","ua.kpi.sc.test.api.tests.user.UserCreateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserCreateTest","createUserReturns201"
"","29","allureStepsAreRecorded","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.framework.AllureSetupTest","Smoke","ua.kpi.sc.test.api.tests.framework.AllureSetupTest","allureStepsAreRecorded"
"","3000","PATCH /users/{id}/status to deactivate returns 200 with active=false","Smoke Tests","Sun Feb 15 13:41:34 UTC 2026","passed","Sun Feb 15 13:41:37 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateStatusTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateStatusTest","deactivateUserReturns200"
"","30779","Remove partner level returns 204","Smoke Tests","Sun Feb 15 13:41:37 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.user.UserRemovePartnerTest","Smoke","ua.kpi.sc.test.api.tests.user.UserRemovePartnerTest","removePartnerLevelReturns204"
"","36634","Register -> getMe: user data matches registration request","Smoke Tests","Sun Feb 15 13:40:55 UTC 2026","passed","Sun Feb 15 13:41:31 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthFlowTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthFlowTest","fullRegistrationToMeFlow"
"","34601","Forgot password returns 204 for registered email","Smoke Tests","Sun Feb 15 13:40:55 UTC 2026","passed","Sun Feb 15 13:41:29 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthForgotPasswordTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthForgotPasswordTest","forgotPasswordReturns204ForRegisteredEmail"
"","365","Evaluate all flags returns map (unauthenticated)","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","failed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagEvaluationTest","Smoke","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagEvaluationTest","evaluateAllUnauthenticatedReturnsMap"
"","31141","PATCH /users/{id} with valid data returns 200 with updated fields","Smoke Tests","Sun Feb 15 13:41:37 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateProfileTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateProfileTest","updateUserWithValidData"
"","401","List users returns paginated response","Smoke Tests","Sun Feb 15 13:41:37 UTC 2026","passed","Sun Feb 15 13:41:37 UTC 2026","ua.kpi.sc.test.api.tests.user.UserTest","Smoke","ua.kpi.sc.test.api.tests.user.UserTest","listUsersReturnsPaginatedResponse"
"","225","healthEndpointResponseTimeIsAcceptable","Smoke Tests","Sun Feb 15 13:41:33 UTC 2026","passed","Sun Feb 15 13:41:33 UTC 2026","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","Smoke","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","healthEndpointResponseTimeIsAcceptable"
"","0","baseUrlIsValidFormat","Smoke Tests","Sun Feb 15 13:42:08 UTC 2026","passed","Sun Feb 15 13:42:08 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","baseUrlIsValidFormat"
"","340","Update self profile returns 200","Smoke Tests","Sun Feb 15 13:41:35 UTC 2026","passed","Sun Feb 15 13:41:36 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","updateSelfReturns200"
