"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Infrastructure","0","Health Check","2","0","","0"
"0","Authentication","0","Register","1","0","","0"
"0","Framework","0","Allure Integration","1","0","","0"
"0","Framework","0","Configuration","4","0","","0"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","Authentication","0","Login","1","0","","0"
"0","Authentication","0","Auth Flows","1","0","","0"
