"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","baseUrlIsValidFormat","Smoke Tests","Wed Feb 18 17:14:19 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","baseUrlIsValidFormat"
"","1046","Setup + verify TOTP returns 200 with recovery codes","Smoke Tests","Wed Feb 18 17:14:14 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpSetupTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpSetupTest","setupAndVerifyTotpReturnsRecoveryCodes"
"","368","Google OAuth redirect returns 302","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthGoogleOAuthTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthGoogleOAuthTest","googleOAuthRedirectReturns302"
"","106","healthEndpointReturns200WithStatusUp","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","Smoke","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","healthEndpointReturns200WithStatusUp"
"","1368","PATCH /users/{id}/tier with valid tier returns 200","Smoke Tests","Wed Feb 18 17:14:17 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateTierTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateTierTest","updateTierWithValidValue"
"","5622","Full flow: register -> forgot -> MailPit -> extract token -> reset -> login with new password","Smoke Tests","Wed Feb 18 17:14:09 UTC 2026","passed","Wed Feb 18 17:14:14 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthPasswordResetFlowTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthPasswordResetFlowTest","fullPasswordResetFlow"
"","126","Admin can list rate limit rules","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.ratelimit.RateLimitAdminTest","Smoke","ua.kpi.sc.test.api.tests.ratelimit.RateLimitAdminTest","listRules_returns200"
"","1011","Assign partner level returns 201","Smoke Tests","Wed Feb 18 17:14:16 UTC 2026","passed","Wed Feb 18 17:14:17 UTC 2026","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","Smoke","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","assignPartnerLevelReturns201"
"","1","configurationLoadsSuccessfully","Smoke Tests","Wed Feb 18 17:14:19 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","configurationLoadsSuccessfully"
"","3970","Register -> getMe: user data matches registration request","Smoke Tests","Wed Feb 18 17:14:09 UTC 2026","passed","Wed Feb 18 17:14:13 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthFlowTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthFlowTest","fullRegistrationToMeFlow"
"","1523","Remove partner level returns 204","Smoke Tests","Wed Feb 18 17:14:18 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.user.UserRemovePartnerTest","Smoke","ua.kpi.sc.test.api.tests.user.UserRemovePartnerTest","removePartnerLevelReturns204"
"","1980","Disable TOTP with valid password and code returns 204","Smoke Tests","Wed Feb 18 17:14:13 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpDisableTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpDisableTest","disableTotpWithValidCredentials"
"","1019","PATCH /users/{id}/status to deactivate returns 200 with active=false","Smoke Tests","Wed Feb 18 17:14:16 UTC 2026","passed","Wed Feb 18 17:14:17 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateStatusTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateStatusTest","deactivateUserReturns200"
"","2219","Reset password with valid token returns 204","Smoke Tests","Wed Feb 18 17:14:12 UTC 2026","passed","Wed Feb 18 17:14:14 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthResetPasswordTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthResetPasswordTest","resetPasswordWithValidTokenReturns204"
"","505","swaggerUiIsAccessible","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","Smoke","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","swaggerUiIsAccessible"
"","9","allureStepsAreRecorded","Smoke Tests","Wed Feb 18 17:14:19 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.framework.AllureSetupTest","Smoke","ua.kpi.sc.test.api.tests.framework.AllureSetupTest","allureStepsAreRecorded"
"","65","healthEndpointResponseTimeIsAcceptable","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","Smoke","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","healthEndpointResponseTimeIsAcceptable"
"","2748","apiDocsEndpointReturnsOpenApiSpec","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:18 UTC 2026","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","Smoke","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","apiDocsEndpointReturnsOpenApiSpec"
"","3848","Change password returns 204","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.user.UserChangePasswordTest","Smoke","ua.kpi.sc.test.api.tests.user.UserChangePasswordTest","changePasswordReturns204"
"","150","Get unread count returns 200 with count field","Smoke Tests","Wed Feb 18 17:14:19 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.notification.NotificationListTest","Smoke","ua.kpi.sc.test.api.tests.notification.NotificationListTest","shouldGetUnreadCount"
"","392","Create feature flag returns 201 with correct fields","Smoke Tests","Wed Feb 18 17:14:19 UTC 2026","passed","Wed Feb 18 17:14:20 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","Smoke","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","createFlagReturns201"
"","1727","Login with 2FA enabled returns mfa_token cookie, then verify-login succeeds","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:16 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpLoginVerifyTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpLoginVerifyTest","loginWith2faThenVerifyLogin"
"","1023","Search users by name returns results","Smoke Tests","Wed Feb 18 17:14:17 UTC 2026","passed","Wed Feb 18 17:14:18 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSearchFilterTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSearchFilterTest","searchUsersByNameReturnsResults"
"","853","Register new user returns 201 with cookies and user data","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:16 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","registerNewUser"
"","836","Delete user returns 204","Smoke Tests","Wed Feb 18 17:14:19 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.user.UserDeleteTest","Smoke","ua.kpi.sc.test.api.tests.user.UserDeleteTest","deleteUserReturns204"
"","1201","Create user returns 201 with correct fields","Smoke Tests","Wed Feb 18 17:14:15 UTC 2026","passed","Wed Feb 18 17:14:16 UTC 2026","ua.kpi.sc.test.api.tests.user.UserCreateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserCreateTest","createUserReturns201"
"","2615","Forgot password returns 204 for registered email","Smoke Tests","Wed Feb 18 17:14:09 UTC 2026","passed","Wed Feb 18 17:14:11 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthForgotPasswordTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthForgotPasswordTest","forgotPasswordReturns204ForRegisteredEmail"
"","1258","Regenerate recovery codes returns 200 with new codes","Smoke Tests","Wed Feb 18 17:14:13 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpRecoveryCodesTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpRecoveryCodesTest","regenerateRecoveryCodesReturnsNewCodes"
"","237","GET /users/me returns current user profile","Smoke Tests","Wed Feb 18 17:14:17 UTC 2026","passed","Wed Feb 18 17:14:17 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","getMeReturns200"
"","241","Update self profile returns 200","Smoke Tests","Wed Feb 18 17:14:17 UTC 2026","passed","Wed Feb 18 17:14:17 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","updateSelfReturns200"
"","3","executionConfigHasDefaults","Smoke Tests","Wed Feb 18 17:14:19 UTC 2026","passed","Wed Feb 18 17:14:19 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","executionConfigHasDefaults"
"","1070","Setup TOTP returns 200 with qrCodeDataUri and manualEntryKey","Smoke Tests","Wed Feb 18 17:14:14 UTC 2026","passed","Wed Feb 18 17:14:15 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpSetupTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpSetupTest","setupTotpReturnsQrCodeAndSecret"
"","182","List users returns paginated response","Smoke Tests","Wed Feb 18 17:14:18 UTC 2026","passed","Wed Feb 18 17:14:18 UTC 2026","ua.kpi.sc.test.api.tests.user.UserTest","Smoke","ua.kpi.sc.test.api.tests.user.UserTest","listUsersReturnsPaginatedResponse"
"","1266","Get user by ID returns 200 with all fields","Smoke Tests","Wed Feb 18 17:14:18 UTC 2026","passed","Wed Feb 18 17:14:20 UTC 2026","ua.kpi.sc.test.api.tests.user.UserGetByIdTest","Smoke","ua.kpi.sc.test.api.tests.user.UserGetByIdTest","getUserByIdReturns200"
"","783","Get 2FA status for user without TOTP returns enabled=false","Smoke Tests","Wed Feb 18 17:14:13 UTC 2026","passed","Wed Feb 18 17:14:14 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpStatusTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpStatusTest","statusWithout2faReturnsDisabled"
