"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","baseUrlIsValidFormat","Smoke Tests","Wed Feb 18 13:46:35 UTC 2026","passed","Wed Feb 18 13:46:35 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","baseUrlIsValidFormat"
"","1186","Remove partner level returns 204","Smoke Tests","Wed Feb 18 13:46:34 UTC 2026","passed","Wed Feb 18 13:46:35 UTC 2026","ua.kpi.sc.test.api.tests.user.UserRemovePartnerTest","Smoke","ua.kpi.sc.test.api.tests.user.UserRemovePartnerTest","removePartnerLevelReturns204"
"","1016","PATCH /users/{id}/tier with valid tier returns 200","Smoke Tests","Wed Feb 18 13:46:33 UTC 2026","passed","Wed Feb 18 13:46:34 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateTierTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateTierTest","updateTierWithValidValue"
"","1","configurationLoadsSuccessfully","Smoke Tests","Wed Feb 18 13:46:35 UTC 2026","passed","Wed Feb 18 13:46:35 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","configurationLoadsSuccessfully"
"","424","GET /users/me returns current user profile","Smoke Tests","Wed Feb 18 13:46:33 UTC 2026","passed","Wed Feb 18 13:46:33 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","getMeReturns200"
"","4122","Login with valid credentials returns 200 with email and cookies","Smoke Tests","Wed Feb 18 13:46:24 UTC 2026","passed","Wed Feb 18 13:46:28 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthLoginTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthLoginTest","loginWithValidCredentials"
"","915","Setup TOTP returns 200 with qrCodeDataUri and manualEntryKey","Smoke Tests","Wed Feb 18 13:46:29 UTC 2026","passed","Wed Feb 18 13:46:30 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpSetupTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpSetupTest","setupTotpReturnsQrCodeAndSecret"
"","1296","Regenerate recovery codes returns 200 with new codes","Smoke Tests","Wed Feb 18 13:46:28 UTC 2026","passed","Wed Feb 18 13:46:29 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpRecoveryCodesTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpRecoveryCodesTest","regenerateRecoveryCodesReturnsNewCodes"
"","1286","Assign partner level returns 201","Smoke Tests","Wed Feb 18 13:46:32 UTC 2026","passed","Wed Feb 18 13:46:33 UTC 2026","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","Smoke","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","assignPartnerLevelReturns201"
"","1089","PATCH /users/{id}/status to deactivate returns 200 with active=false","Smoke Tests","Wed Feb 18 13:46:31 UTC 2026","passed","Wed Feb 18 13:46:32 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateStatusTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateStatusTest","deactivateUserReturns200"
