"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","485","Get user by ID returns 200 with all fields","Smoke Tests","Fri Feb 13 10:26:21 UTC 2026","passed","Fri Feb 13 10:26:21 UTC 2026","ua.kpi.sc.test.api.tests.user.UserGetByIdTest","Smoke","ua.kpi.sc.test.api.tests.user.UserGetByIdTest","getUserByIdReturns200"
"","1061","apiDocsEndpointReturnsOpenApiSpec","Smoke Tests","Fri Feb 13 10:26:18 UTC 2026","passed","Fri Feb 13 10:26:19 UTC 2026","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","Smoke","ua.kpi.sc.test.api.tests.smoke.SwaggerAvailabilityTest","apiDocsEndpointReturnsOpenApiSpec"
"","563","Search users by name returns results","Smoke Tests","Fri Feb 13 10:26:20 UTC 2026","passed","Fri Feb 13 10:26:21 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSearchFilterTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSearchFilterTest","searchUsersByNameReturnsResults"
"","696","PATCH /users/{id}/status to deactivate returns 200 with active=false","Smoke Tests","Fri Feb 13 10:26:19 UTC 2026","passed","Fri Feb 13 10:26:20 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateStatusTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateStatusTest","deactivateUserReturns200"
"","3","configurationLoadsSuccessfully","Smoke Tests","Fri Feb 13 10:26:21 UTC 2026","passed","Fri Feb 13 10:26:21 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","configurationLoadsSuccessfully"
"","1853","Change password returns 204","Smoke Tests","Fri Feb 13 10:26:18 UTC 2026","passed","Fri Feb 13 10:26:20 UTC 2026","ua.kpi.sc.test.api.tests.user.UserChangePasswordTest","Smoke","ua.kpi.sc.test.api.tests.user.UserChangePasswordTest","changePasswordReturns204"
"","123","List users returns paginated response","Smoke Tests","Fri Feb 13 10:26:21 UTC 2026","passed","Fri Feb 13 10:26:21 UTC 2026","ua.kpi.sc.test.api.tests.user.UserTest","Smoke","ua.kpi.sc.test.api.tests.user.UserTest","listUsersReturnsPaginatedResponse"
"","596","Create user returns 201 with correct fields","Smoke Tests","Fri Feb 13 10:26:19 UTC 2026","passed","Fri Feb 13 10:26:19 UTC 2026","ua.kpi.sc.test.api.tests.user.UserCreateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserCreateTest","createUserReturns201"
"","111","healthEndpointReturns200WithStatusUp","Smoke Tests","Fri Feb 13 10:26:18 UTC 2026","passed","Fri Feb 13 10:26:18 UTC 2026","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","Smoke","ua.kpi.sc.test.api.tests.smoke.HealthCheckTest","healthEndpointReturns200WithStatusUp"
"","487","PATCH /users/{id} with valid data returns 200 with updated fields","Smoke Tests","Fri Feb 13 10:26:20 UTC 2026","passed","Fri Feb 13 10:26:21 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateProfileTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateProfileTest","updateUserWithValidData"
"","3614","Login with valid credentials returns 200 with email and cookies","Smoke Tests","Fri Feb 13 10:26:14 UTC 2026","passed","Fri Feb 13 10:26:18 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthLoginTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthLoginTest","loginWithValidCredentials"
"","2","authConfigIsAccessible","Smoke Tests","Fri Feb 13 10:26:21 UTC 2026","passed","Fri Feb 13 10:26:21 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","authConfigIsAccessible"
"","466","PATCH /users/{id}/tier with valid tier returns 200","Smoke Tests","Fri Feb 13 10:26:20 UTC 2026","passed","Fri Feb 13 10:26:21 UTC 2026","ua.kpi.sc.test.api.tests.user.UserUpdateTierTest","Smoke","ua.kpi.sc.test.api.tests.user.UserUpdateTierTest","updateTierWithValidValue"
